,timestamp,bng_subscribers,device_name,vendor,model,os,version,hw_revision,role,ip_address
0,1747246843,158950.81198305244,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
1,1747247143,155336.04300967633,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
2,1747247443,149299.637403145,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
3,1747247743,152540.39395381074,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
4,1747248043,158639.88622558521,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
5,1747248343,144577.71999457903,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
6,1747248643,142838.33448903635,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
7,1747248943,156368.67948814947,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
8,1747249243,163710.9189690502,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
9,1747249543,160235.17093540568,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
10,1747249843,156705.924183022,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
11,1747250143,147057.92517041197,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
12,1747250443,153230.07421435489,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
13,1747250743,155947.4754435641,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
14,1747251043,148123.0013765642,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
15,1747251343,146721.92791864608,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
16,1747251643,151882.2170802783,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
17,1747251943,132280.31640223254,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
18,1747252243,34587.391117591455,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
19,1747252543,131249.06772878897,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
20,1747252843,117879.77016197571,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
21,1747253143,120093.86380642341,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
22,1747253443,117136.9461773439,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
23,1747253743,116369.97980589519,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
24,1747254043,110868.50064857233,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
25,1747254343,110480.77539960752,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
26,1747254643,108111.31006786213,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
27,1747254943,108057.15189656733,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
28,1747255243,105292.12612435016,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
29,1747255543,98697.35292386565,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
30,1747255843,99630.42672783966,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
31,1747256143,103831.8100035951,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
32,1747256443,101244.98687406362,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
33,1747256743,97058.64943202681,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
34,1747257043,93069.24820649787,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
35,1747257343,94277.13754493839,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
36,1747257643,93961.57715159722,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
37,1747257943,89273.35461870252,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
38,1747258243,92231.40827084811,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
39,1747258543,88360.80028436072,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
40,1747258843,84062.9991399027,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
