Device_ID,Operating_Temperature_Nominal,Operating_Humidity_Nominal,Fan_Speed,Version,CPU,Memory,Failure_Last6Months
ISR1000-0000,38.74540118847362,57.848404943774675,7429.811878192427,17.12,48.20221215792119,93.96765424626425,1
ISR1000-0001,44.50714306409916,55.36886947354533,7886.249890853516,17.12,41.691264899527816,85.80233745661643,1
ISR1000-0002,42.31993941811405,61.09564333979897,7045.7503749085745,17.15,65.9416712876516,90.24511389570254,1
ISR1000-0003,40.98658484197037,60.02679023228862,7056.022283123822,17.9,64.38703027390233,89.10396826989661,0
ISR1000-0004,36.560186404424364,55.51478751249989,8233.900840989487,17.15,69.99153019858392,94.82378616908606,1
ISR1000-0005,36.55994520336203,57.78646464236611,7540.285962116895,17.12,69.89910511221716,86.12038902168052,1
ISR1000-0006,35.580836121682,64.08265885966654,7190.590768977827,17.15,56.66295116807882,88.97855599045742,0
ISR1000-0007,43.66176145774935,57.395618906669725,7783.364890082206,17.12,63.06962245541531,94.69470433275369,1
ISR1000-0008,41.01115011743209,56.44894872091223,8154.990329647916,17.15,68.34297189647285,93.6550712589398,1
ISR1000-0009,42.08072577796045,59.89452760277563,7323.731541245264,17.9,65.48942172032234,93.1707207094928,1
ISR1000-0010,35.205844942958024,64.856504541106,7934.3357137285,17.15,47.42044305229593,87.5790282704494,1
ISR1000-0011,44.699098521619945,57.42055271511501,7128.021197490652,17.15,53.516324059302804,86.70887587390065,1
ISR1000-0012,43.324426408004214,61.72135547405878,7077.522581752912,17.12,43.87478245454485,91.68643219924431,1
ISR1000-0013,37.12339110678276,62.61619615328718,7797.031947352222,17.12,68.62153081776167,94.29375989127585,1
ISR1000-0014,36.818249672071005,57.376375439924,7810.95268241516,17.12,58.1852390335264,90.56762893013929,1
ISR1000-0015,36.83404509853434,62.2821634861186,7956.14485224731,17.15,46.85928416510388,90.716126894699,1
ISR1000-0016,38.042422429595376,58.677831327192536,8089.137000583993,17.9,60.15102053217571,87.79979093660285,1
ISR1000-0017,40.24756431632238,61.323058305935795,8463.778119193801,17.12,58.543847213736875,92.69492933191937,0
ISR1000-0018,39.31945018642116,61.335297107608945,7774.4505224517925,17.12,50.74488154098522,86.87043748557524,0
ISR1000-0019,37.91229140198042,60.35774684074759,7484.434709411869,17.15,43.40672776598887,88.23679236404243,1
ISR1000-0020,41.118528947223794,55.90289770054408,8192.779292153056,17.12,60.14719586778399,89.25436438616417,1
ISR1000-0021,36.39493860652042,63.35302495589238,7406.2483768931115,17.9,55.6092310271138,90.07610378684456,1
ISR1000-0022,37.921446485352185,58.207800649717356,7658.457131058454,17.9,63.16955175206918,87.42409732415081,1
ISR1000-0023,38.663618432936914,56.86518510399854,7117.684572013399,17.12,55.6049050333598,86.14836824739203,1
ISR1000-0024,39.56069984217036,55.40775141554764,7038.026115123186,17.12,65.5654450095562,91.10620042441633,1
ISR1000-0025,42.851759613930135,60.90892943188242,8443.972622016887,17.15,56.55720516323457,87.88630553240256,0
ISR1000-0026,36.9967378215836,61.775643618422826,8253.970180768309,17.9,56.82813914606159,90.81238221422612,1
ISR1000-0027,40.142344384136116,55.16587828927856,8043.961309140547,17.9,66.29960807975036,86.54362715274202,0
ISR1000-0028,40.92414568862043,60.12093058299281,7613.429416621405,17.12,52.10448598637191,89.81140101854817,1
ISR1000-0029,35.46450412719998,57.26495775197938,7259.9414801062685,17.15,44.02045685351922,90.32589432551586,0
ISR1000-0030,41.07544851901439,61.4517279040945,7234.655564006629,17.9,40.86348028940017,85.51823536822427,1
ISR1000-0031,36.705241236872915,56.743664290049914,7375.364347246893,17.9,62.65411767020857,88.3660427819392,0
ISR1000-0032,35.650515929852794,61.90937738102466,7823.839997059181,17.15,58.60928654060394,86.34414676938974,1
ISR1000-0033,44.48885537253334,58.86735346300537,8071.893884050093,17.15,61.12239304297671,85.63374970472768,1
ISR1000-0034,44.656320330745594,64.36729988736735,7990.296065076597,17.9,46.388924845267326,94.89960232389946,1
ISR1000-0035,43.08397348116461,56.37520944145993,7419.900845418914,17.9,44.09114426760309,88.22353844974722,0
ISR1000-0036,38.046137691733705,58.41066351050259,8432.297920994792,17.15,40.43633997003646,93.09874445854635,1
ISR1000-0037,35.97672114006384,56.13473521240589,8106.845375043653,17.9,50.517626764197914,87.54640654763764,1
ISR1000-0038,41.84233026512157,64.24693618278563,7831.531078767101,17.12,57.69753060563899,91.8150272222393,1
ISR1000-0039,39.40152493739601,63.77339353380981,7917.581119351528,17.12,51.76732135299197,92.60227859889686,1
ISR1000-0040,36.220382348447785,57.57941627715156,7629.400093641685,17.15,53.12424766071187,90.95638740607845,0
ISR1000-0041,39.9517691011127,61.59984046034179,7371.596484251736,17.15,67.12476083481245,89.71576188550158,0
ISR1000-0042,35.343885211152184,63.17222200201216,7533.959017976892,17.15,50.447664010699015,89.11840914147268,1
ISR1000-0043,44.09320402078782,60.552008115994624,8136.7691656965535,17.12,55.419684674794325,88.48868266542995,1
ISR1000-0044,37.58779981600017,60.296505783560065,7021.5902329446335,17.9,63.50959038223429,94.29529144247826,0
ISR1000-0045,41.62522284353982,57.418522909004515,7174.108960760374,17.12,51.89628346963811,93.3061940778773,1
ISR1000-0046,38.11711076089411,55.93102767805899,7069.003963032629,17.9,58.662601006836205,94.65026910666512,1
ISR1000-0047,40.200680211778106,63.97215757953327,7061.0932034784555,17.12,65.87091126240236,86.24297223485544,1
ISR1000-0048,40.467102793432794,64.0041805716333,8283.190876016512,17.9,68.48561870972927,92.30867475203644,1
ISR1000-0049,36.84854455525527,61.33101457273268,8055.486789070035,17.12,44.41220442787114,94.38340456821038,1
ISR1000-0050,44.695846277645586,58.39029791048701,7711.260743630988,17.15,67.79762875484484,86.8123306616566,1
ISR1000-0051,42.75132823361115,58.49209574612661,7146.751240976502,17.12,54.76348879238614,85.66496267366777,0
ISR1000-0052,44.39498941564189,62.2595567887024,7737.423812675249,17.9,47.74733164896875,92.41120649290059,0
ISR1000-0053,43.948273504276486,63.97110259952577,7710.207656170848,17.12,53.774072687147836,90.74473113179911,1
ISR1000-0054,40.978999788110855,63.87086424265117,7259.802804865023,17.12,69.40097725856431,93.41828776758273,1
ISR1000-0055,44.21874235023117,62.79875545857624,7650.77747385696,17.12,54.77854281978609,86.3977237662629,1
ISR1000-0056,35.8849250205192,61.420316461542875,7597.75710159606,17.15,49.86254830862525,92.95267311859891,1
ISR1000-0057,36.95982862419145,55.84139964995049,7923.775147078325,17.12,59.00202562950177,87.01627320047744,1
ISR1000-0058,35.45227288910538,56.616287140946135,7952.640476301465,17.15,47.204368563345795,86.63655942865705,1
ISR1000-0059,38.25330330763264,63.98554188527079,7067.956014658067,17.15,42.27589984325992,86.64265797930993,0
ISR1000-0060,38.88677289689482,61.064290596595896,7561.918921939707,17.12,43.866391657319475,93.14574720231383,0
ISR1000-0061,37.71349031773896,55.0919705161663,7938.789873571354,17.12,43.84137516873317,91.651972206962,1
ISR1000-0062,43.287375091519294,56.014715428660324,7754.7043878701315,17.12,44.55708080536883,90.23065424769119,1
ISR1000-0063,38.5675332669359,61.635017691080556,8284.734761782483,17.9,44.164815179482304,88.58830484123503,0
ISR1000-0064,37.809345096873805,55.050615838462186,7988.040447428418,17.12,59.226242344096434,93.77200540813108,1
ISR1000-0065,40.426960831582484,56.608080514174986,7244.401640622144,17.15,45.45640253197435,88.92445107422635,1
ISR1000-0066,36.40924224974763,60.48733789366586,7105.853121100645,17.12,50.3700184997159,93.16599439471577,1
ISR1000-0067,43.0219698075404,61.918951976926934,7963.628917309474,17.9,66.90365229718036,89.39134908570219,0
